name,genre
Ruthless People,Comedy
The Transformers: the Movie,Animation
Wildcats,Comedy
Troll,Comedy
At Close Range,Crime
The Boy Who Could Fly,Drama
Something Wild,Comedy
Heartburn,Comedy
Crossroads,Drama
The Clan of the Cave Bear,Adventure
She's Gotta Have It,Comedy
Running Scared,Action
8 Million Ways to Die,Action
Soul Man,Comedy
Down by Law,Comedy
Poltergeist II: the Other Side,Horror
Bad Blood,Crime
Psycho III,Horror
Allan Quatermain and the Lost City of Gold,Action
The Adventures of Milo and Otis,Adventure
Caravaggio,Biography
Children of a Lesser God,Drama
Invaders from Mars,Horror
Matador,Drama
Down and Out in Beverly Hills,Comedy
April Fool's Day,Horror
The Big Easy,Comedy
Pirates,Action
No Mercy,Crime
Lady Jane,Biography
Club Paradise,Comedy
Manon of the Spring,Drama
Gothic,Drama
Armed and Dangerous,Action
F/X,Action
King Kong Lives,Action
Castaway,Adventure
Wise Guys,Comedy
Solarbabies,Action
The Manhattan Project,Sci-Fi
Trick or Treat,Comedy
Body Slam,Comedy
Jumpin' Jack Flash,Comedy
Fire with Fire,Drama
Gung Ho,Comedy
True Stories,Comedy
When the Wind Blows,Animation
Murphy's Law,Action
Deadly Friend,Drama
Jean de Florette,Comedy
Reform School Girls,Crime
Band of the Hand,Action
Vamp,Comedy
Nothing in Common,Comedy
TerrorVision,Comedy
Quicksilver,Crime
52 Pick-Up,Crime
Black Moon Rising,Action
Extremities,Drama
The Men's Club,Drama
Haunted Honeymoon,Comedy
Summer,Drama
Tough Guys,Comedy
Eliminators,Action
The Best of Times,Comedy
Firewalker,Action
Modern Girls,Comedy
Witchboard,Horror
Clockwise,Comedy
Legal Eagles,Comedy
Link,Horror
"Jo Jo Dancer, Your Life Is Calling",Biography
Wanted: Dead or Alive,Action
American Anthem,Drama
The Morning After,Crime
Crimes of the Heart,Comedy
Under the Cherry Moon,Comedy
Malcolm,Comedy
Meatballs III: Summer Job,Comedy
Devil in the Flesh,Drama
Absolute Beginners,Drama
Deadtime Stories,Comedy
Avenging Force,Action
Heat,Action
Sweet Liberty,Comedy
Killer Party,Comedy
Out of Bounds,Action
Wisdom,Crime
Shanghai Surprise,Adventure
Power,Drama
A Fine Mess,Action
Let's Get Harry,Action
My Chauffeur,Comedy
